id,species,genus,family,order,class,phylum,accession
Xinglinwan_gi|NC_001606.1|ref|NC_001606.1|tax|7962|Cyprinus,Cyprinus carpio,Cyprinus,,,,,NC_001606.1
Xinglinwan_gi|16356953|ref|NC_003182.1|tax|48193|Mugil,Mugil cephalus,Mugil,,,,,NC_003182.1
Xinglinwan_gi|16356925|ref|NC_003192.1|tax|43700|Monopterus,Monopterus albus,Monopterus,,,,,NC_003192.1
Xinglinwan_gi|NC_005799.1|ref|NC_005799.1|tax|118141|Megalops,Megalops cyprinoides,Megalops,,,,,NC_005799.1
Xinglinwan_gi|162382067|ref|NC_010156.1|tax|13095|Hypophthalmichthys,Hypophthalmichthys molitrix,Hypophthalmichthys,,,,,NC_010156.1
Xinglinwan_gi|NC_013663.1|ref|NC_013663.1|tax|8128|Oreochromis,Oreochromis niloticus,Oreochromis,,,,,NC_013663.1
Xinglinwan_gi|345894269|ref|NC_015992.1|tax|55553|Tridentiger,Tridentiger bifasciatus,Tridentiger,,,,,NC_015992.1
Xinglinwan_gi|NC_018600.1|ref|NC_018600.1|tax|403224|Clupanodon,Clupanodon thrissa,Clupanodon,,,,,NC_018600.1
Xinglinwan_gi|560877690|ref|NC_022929.1|tax|75350|Hemiculter,Hemiculter leucisculus,Hemiculter,,,,,NC_022929.1
Xinglinwan_gi|1016472331|ref|NC_029831.1|tax|198511|Hemiculter,Hemiculter bleekeri,Hemiculter,,,,,NC_029831.1
Xinglinwan_gi|NC_042503.1|ref|NC_042503.1|tax|8164|Lateolabrax,Lateolabrax japonicus,Lateolabrax,,,,,NC_042503.1
Xinglinwan_gi|NC_046753.1|ref|NC_046753.1|tax|2048576|Homatula,Homatula laxiclathra,Homatula,,,,,NC_046753.1
Yundang_NC_002639.1,Myxine glutinosa,Myxine,,,,,NC_002639.1
Yundang_NC_003182.1,Mugil cephalus,Mugil,,,,,NC_003182.1
Yundang_NC_011925.1,Monacanthus chinensis,Monacanthus,,,,,NC_011925.1
Yundang_NC_011931.1,Paramonacanthus choirocephalus,Paramonacanthus,,,,,NC_011931.1
Yundang_NC_012570.1,Chiloscyllium plagiosum,Chiloscyllium,,,,,NC_012570.1
Yundang_NC_013141.1,Rhynchopelates oxyrhynchus,Rhynchopelates,,,,,NC_013141.1
Yundang_NC_013663.1,Oreochromis niloticus,Oreochromis,,,,,NC_013663.1
Yundang_NC_013812.1,Sebastiscus marmoratus,Sebastiscus,,,,,NC_013812.1
Yundang_NC_016672.1,Sillago sihama,Sillago,,,,,NC_016672.1
Yundang_NC_016694.1,Konosirus punctatus,Konosirus,,,,,NC_016694.1
Yundang_NC_017606.1,Dendrophysa russelii,Dendrophysa,,,,,NC_017606.1
Yundang_NC_017902.2,Moolgarda cunnesius,Moolgarda,,,,,NC_017902.2
Yundang_NC_018553.1,Acanthopagrus schlegelii,Acanthopagrus,,,,,NC_018553.1
Yundang_NC_018600.1,Clupanodon thrissa,Clupanodon,,,,,NC_018600.1
Yundang_NC_021130.1,Johnius grypotus,Johnius,,,,,NC_021130.1
Yundang_NC_022445.1,Pleuronichthys cornutus,Pleuronichthys,,,,,NC_022445.1
Yundang_NC_022464.1,Johnius belangerii,Johnius,,,,,NC_022464.1
Yundang_NC_022481.1,Platycephalus indicus,Platycephalus,,,,,NC_022481.1
Yundang_NC_022707.1,Trachinotus ovatus,Trachinotus,,,,,NC_022707.1
Yundang_NC_022841.1,Rhinobatos hynnicephalus,Rhinobatos,,,,,NC_022841.1
Yundang_NC_023824.1,Nematalosa nasus,Nematalosa,,,,,NC_023824.1
Yundang_NC_024610.1,Solea ovata,Solea,,,,,NC_024610.1
Yundang_NC_025199.1,Zebrias zebrinus,Zebrias,,,,,NC_025199.1
Yundang_NC_025644.1,Carangoides equula,Carangoides,,,,,NC_025644.1
Yundang_NC_026234.1,Gerres oyena,Gerres,,,,,NC_026234.1
Yundang_NC_026902.1,Eleotris oxycephala,Eleotris,,,,,NC_026902.1
Yundang_NC_027281.1,Terapon jarbua,Terapon,,,,,NC_027281.1
Yundang_NC_027734.1,Nemipterus virgatus,Nemipterus,,,,,NC_027734.1
Yundang_NC_028288.1,Eucyclogobius newberryi,Eucyclogobius,,,,,NC_028288.1
Yundang_NC_029714.1,Plotosus lineatus,Plotosus,,,,,NC_029714.1
Yundang_NC_029940.1,Thryssa kammalensis,Thryssa,,,,,NC_029940.1
Yundang_NC_033497.1,Ambassis gymnocephalus,Ambassis,,,,,NC_033497.1
Yundang_NC_033521.1,Stolephorus commersonnii,Stolephorus,,,,,NC_033521.1
Yundang_NC_034944.1,Lepidotrigla microptera,Lepidotrigla,,,,,NC_034944.1
Yundang_NC_035981.1,,,,,,,NC_035981.1
Yundang_NC_036674.1,Glossogobius giuris,Glossogobius,,,,,NC_036674.1
Yundang_NC_037846.1,Gerres filamentosus,Gerres,,,,,NC_037846.1
Yundang_NC_039819.1,Thryssa vitrirostris,Thryssa,,,,,NC_039819.1
Yundang_NC_042503.1,Lateolabrax japonicus,Lateolabrax,,,,,NC_042503.1
Yundang_NC_042504.1,Scoliodon laticaudus,Scoliodon,,,,,NC_042504.1
Yundang_NC_047231.1,Hydrolagus affinis,Hydrolagus,,,,,NC_047231.1
Yundang_NC_056780.1,Acanthopagrus latus,Acanthopagrus,,,,,NC_056780.1
Yundang_NC_057589.1,Sardinella zunasi,Sardinella,,,,,NC_057589.1
Yundang_NC_059324.1,Scatophagus argus,Scatophagus,,,,,NC_059324.1
Yundang_NC_060758.1,Myxine fernholmi,Myxine,,,,,NC_060758.1
Yundang_NC_063689.1,Inegocia japonica,Inegocia,,,,,NC_063689.1
Yundang_NC_083132.1,Urolophus aurantiacus,Urolophus,,,,,NC_083132.1
Yundang_NC_083174.1,Eucinostomus gula,Eucinostomus,,,,,NC_083174.1
Yundang_NC_083266.1,Oxyurichthys ophthalmonema,Oxyurichthys,,,,,NC_083266.1
Yundang_LC677326.1,Equulites rivulatus,Equulites,,,,,LC677326.1
Yundang_OR002186.1,Gerres limbatus,Gerres,,,,,OR002186.1
Yundang_MW646297.1,Odontobutis obscura,Odontobutis,,,,,MW646297.1
Yundang_MG271911.1,Pelates quadrilineatus,Pelates,,,,,MG271911.1
Yundang_MG587040.1,Liza carinata,Liza,,,,,MG587040.1
Yundang_KF375002.1,Liza subviridis,Liza,,,,,KF375002.1
Yundang_AP011566.1,Stolephorus chinensis,Stolephorus,,,,,AP011566.1
Yundang_KP973944.1,Takifugu bimaculatus,Takifugu,,,,,KP973944.1
MitoFish_mf_000001,Carassius langsdorfii,Carassius,Cyprinidae,Cypriniformes,Actinopteri,Chordata,MitoFish_mf_000001
MitoFish_mf_000002,Mustelus manazo,Mustelus,Triakidae,Carcharhiniformes,Chondrichthyes,Chordata,MitoFish_mf_000002
MitoFish_mf_000003,Sigmops gracilis,Sigmops,Gonostomatidae,Stomiiformes,Actinopteri,Chordata,MitoFish_mf_000003
MitoFish_mf_000004,Coryphaenoides armatus,Coryphaenoides,Macrouridae,Gadiformes,Actinopteri,Chordata,MitoFish_mf_000004
MitoFish_mf_000006,Coryphaenoides nasutus,Coryphaenoides,Macrouridae,Gadiformes,Actinopteri,Chordata,MitoFish_mf_000006
MitoFish_mf_000007,Coryphaenoides longifilis,Coryphaenoides,Macrouridae,Gadiformes,Actinopteri,Chordata,MitoFish_mf_000007
MitoFish_mf_000009,Coryphaenoides cinereus,Coryphaenoides,Macrouridae,Gadiformes,Actinopteri,Chordata,MitoFish_mf_000009
MitoFish_mf_000011,Coelorinchus gilberti,Coelorinchus,Macrouridae,Gadiformes,Actinopteri,Chordata,MitoFish_mf_000011
MitoFish_mf_000012,Coelorinchus macrochir,Coelorinchus,Macrouridae,Gadiformes,Actinopteri,Chordata,MitoFish_mf_000012
MitoFish_mf_000013,Anguilla megastoma,Anguilla,Anguillidae,Anguilliformes,Actinopteri,Chordata,MitoFish_mf_000013
MitoFish_mf_000014,Anguilla interioris,Anguilla,Anguillidae,Anguilliformes,Actinopteri,Chordata,MitoFish_mf_000014
