species,genus,family,order,class,phylum,category,is_fish,is_contamination
Aaptosyax grypus,Aaptosyax,Cyprinidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abactochromis labrosus,Abactochromis,Cichlidae,Cichliformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abalistes filamentosus,Abalistes,Balistidae,Tetraodontiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abalistes stellaris,Abalistes,Balistidae,Tetraodontiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abalistes stellatus,Abalistes,Balistidae,Tetraodontiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abantennarius bermudensis,Abantennarius,Antennariidae,Lophiiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abantennarius coccineus,Abantennarius,Antennariidae,Lophiiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abantennarius dorehensis,Abantennarius,Antennariidae,Lophiiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abantennarius nummifer,Abantennarius,Antennariidae,Lophiiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abantennarius rosaceus,Abantennarius,Antennariidae,Lophiiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abantennarius sanguineus,Abantennarius,Antennariidae,Lophiiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abbottina binhi,Abbottina,Gobionidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abbottina lalinensis,Abbottina,Gobionidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abbottina liaoningensis,Abbottina,Gobionidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abbottina obtusirostris,Abbottina,Gobionidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abbottina rivularis,Abbottina,Gobionidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Ablabys binotatus,Ablabys,Tetrarogidae,Perciformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Ablabys gymnothorax,Ablabys,Tetrarogidae,Perciformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Ablabys macracanthus,Ablabys,Tetrarogidae,Perciformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Ablabys sp. FOAH668-08,Ablabys,Tetrarogidae,Perciformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Ablabys taenianotus,Ablabys,Tetrarogidae,Perciformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Ablennes gracalii,Ablennes,Belonidae,Beloniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Ablennes hians,Ablennes,Belonidae,Beloniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Ablennes hians complex sp. type01,Ablennes,Belonidae,Beloniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Ablennes hians complex sp. type02,Ablennes,Belonidae,Beloniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Ablennes joseberchmansis,Ablennes,Belonidae,Beloniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Ablennes sp. 2 (Indo),Ablennes,Belonidae,Beloniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Aboma etheostoma,Aboma,Gobiidae,Gobiiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Aborichthys elongatus,Aborichthys,Nemacheilidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Aborichthys kempi,Aborichthys,Nemacheilidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Aborichthys sp. FBRC_ZSI_DNA344,Aborichthys,Nemacheilidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Aborichthys sp. FBRC_ZSI_DNA345,Aborichthys,Nemacheilidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Aborichthys sp. FBRC_ZSI_DNA346,Aborichthys,Nemacheilidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Aborichthys sp. FBRC_ZSI_DNA373,Aborichthys,Nemacheilidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Aborichthys sp. Rydak,Aborichthys,Nemacheilidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Aborichthys verticauda,Aborichthys,Nemacheilidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abramis brama,Abramis,Leuciscidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abramis brama x Blicca bjoerkna,Abramis,Leuciscidae,Cypriniformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abramites hypselonotus,Abramites,Anostomidae,Characiformes,Actinopteri,Chordata,Fish,TRUE,FALSE
Abudefduf abdominalis,Abudefduf,Pomacentridae,,Actinopteri,Chordata,Fish,TRUE,FALSE
Abudefduf bengalensis,Abudefduf,Pomacentridae,,Actinopteri,Chordata,Fish,TRUE,FALSE
Abudefduf caudobimaculatus,Abudefduf,Pomacentridae,,Actinopteri,Chordata,Fish,TRUE,FALSE
